COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 01/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 30381 
 NOMBRE    : ZILACATIPAN 
 ESTADO    : VERACRUZ DE IGNACIO DE LA LLAVE 
 MUNICIPIO : HUAYACOCOTLA 
 SITUACIÓN : SUSPENDIDA 
 CVE-OMM   :   
 LATITUD   : 20.65583333 ° 
 LONGITUD  : -98.34805556 ° 
 ALTITUD   : 971 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1983-05-18	0.1	NULO	NULO	NULO
1983-08-03	4.5	NULO	22	13
1983-08-04	3.5	NULO	16	12
1983-08-05	40	NULO	16	12
1983-08-06	7	NULO	18	12
1983-08-07	2.5	NULO	19	13
1983-08-08	5.5	NULO	20	13
1983-08-09	4.5	NULO	22	13
1983-08-10	14.5	NULO	17.5	12
1983-08-11	47.8	NULO	20	13
1983-08-12	0.4	NULO	20.5	14.5
1983-08-13	1.5	NULO	21	15.5
1983-08-14	26.5	NULO	23.5	13.5
1983-08-15	3.5	NULO	20.5	12
1983-08-16	0	NULO	21.5	12
1983-08-17	0	NULO	23.5	14
1983-08-18	0	NULO	23.5	13
1983-08-19	29	NULO	22	12
1983-08-20	25.5	NULO	19	13
1983-08-21	19.5	NULO	21	12
1983-08-22	61	NULO	20	13
1983-08-23	17.5	NULO	19.5	12
1983-08-24	15.5	NULO	14.5	12
1983-08-25	20	NULO	16.5	12
1983-08-26	40	NULO	20.5	12
1983-08-27	0	NULO	22.5	13
1983-08-28	0	NULO	23	12
1983-08-29	24.5	NULO	22	13
1983-08-30	1.5	NULO	23	13
1983-08-31	0	NULO	23	13
1983-09-01	0.2	NULO	22.5	13
1983-09-02	0	NULO	24.5	13.5
1983-09-03	0	NULO	22	14
1983-09-04	0	NULO	24	13
1983-09-05	0	NULO	23	14
1983-09-06	30.5	NULO	22.5	15
1983-09-07	180.5	NULO	20	1.5
1983-09-08	108.5	NULO	23	13.5
1983-09-09	26.2	NULO	19.5	13.5
1983-09-10	21.4	NULO	17	13.5
1983-09-11	39.5	NULO	21	13
1983-09-12	20.5	NULO	21	12.5
1983-09-13	32	NULO	21.5	14
1983-09-14	21.4	NULO	17	13.5
1983-09-15	19	NULO	20.5	13
1983-09-16	0	NULO	21.5	13
1983-09-17	0	NULO	23	15
1983-09-18	5.5	NULO	21.5	13
1983-09-19	20.5	NULO	21.5	14.5
1983-09-20	28.3	NULO	23	14.5
1983-09-21	28.4	NULO	16.5	15
1983-09-22	30.5	NULO	16.5	11.5
1983-09-23	25.5	NULO	16.5	13.5
1983-09-24	26.5	NULO	16.5	14.5
1983-09-25	26.8	NULO	16.5	13.5
1983-09-26	20	NULO	16	13.5
1983-09-27	16	NULO	16.5	12.5
1983-09-28	2.5	NULO	16	10
1983-09-29	10	NULO	19.5	12.5
1983-09-30	10	NULO	19.5	13
1983-10-01	10	NULO	16	13
1983-10-02	0	NULO	20.5	13.5
1983-10-03	0	NULO	15.5	12
1983-10-04	1.5	NULO	23.5	11
1983-10-05	0	NULO	18	13
1983-10-06	0	NULO	16.5	13.5
1983-10-07	0	NULO	18	13.5
1983-10-08	0	NULO	21	12
1983-10-09	2	NULO	23.5	13.5
1983-10-10	0	NULO	23.5	12
1983-10-11	10	NULO	23	12
1983-10-12	8.5	NULO	24	12
1983-10-13	17	NULO	18	11
1983-10-14	0	NULO	19.5	13
1983-10-15	23.5	NULO	21	14.5
1983-10-16	3	NULO	19.5	14
1983-10-17	15	NULO	19	13.5
1983-10-18	8	NULO	16.5	13
1983-10-19	55.5	NULO	15	12
1983-10-20	20.3	NULO	19.5	12
1983-10-21	23	NULO	21	13.5
1983-10-22	17	NULO	16.5	14
1983-10-23	89.3	NULO	15	12
1983-10-24	100	NULO	19	12.5
1983-10-25	80	NULO	14	11
1983-10-26	55	NULO	16.5	11
1983-10-27	80	NULO	19.5	12
1983-10-28	0	NULO	17	12.5
1983-10-29	7	NULO	15.5	12
1983-10-30	4.5	NULO	15	11.5
1983-10-31	22.5	NULO	15.5	12.5
1983-11-01	22.5	NULO	15.5	11
1983-11-02	4	NULO	17	12
1983-11-03	0	NULO	19.5	13.5
1983-11-04	0	NULO	19	11
1983-11-05	4	NULO	19.5	13
1983-11-06	0	NULO	21	13
1983-11-07	2.5	NULO	18.5	12.5
1983-11-08	3	NULO	19	12
1983-11-09	5.4	NULO	15.5	13
1983-11-10	6.2	NULO	20.5	11
1983-11-11	3	NULO	20.5	11
1983-11-12	0	NULO	22.5	11
1983-11-13	0	NULO	24	10
1983-11-14	0	NULO	26.5	11.5
1983-11-15	3.4	NULO	19	15
1983-11-16	0	NULO	24	13.5
1983-11-17	31.5	NULO	21	13.5
1983-11-18	0	NULO	20.5	10.5
1983-11-19	0	NULO	19	8
1983-11-20	0	NULO	19.5	11.5
1983-11-21	0	NULO	19.5	10
1983-11-22	0	NULO	20.5	10.5
1983-11-23	0	NULO	24	12
1983-11-24	0	NULO	26.5	15.5
1983-11-25	3.4	NULO	22.5	15
1983-11-26	0	NULO	21.5	11
1983-11-27	10	NULO	24	13.5
1983-11-28	2	NULO	20.5	14
1983-11-29	0	NULO	16	12
1983-11-30	0	NULO	19.5	11.5
1983-12-01	2	NULO	25.5	12.5
1983-12-02	0	NULO	27	12
1983-12-03	0	NULO	27.5	11.5
1983-12-04	0	NULO	24	11
1983-12-05	0	NULO	26.5	13
1983-12-06	24.5	NULO	23	13
1983-12-07	2.5	NULO	16.5	10.5
1983-12-08	0	NULO	23	12
1983-12-09	0	NULO	21.5	12.5
1983-12-10	0	NULO	27	12
1983-12-11	0	NULO	28.5	10.5
1983-12-12	0	NULO	29	12
1983-12-13	0	NULO	30.5	11
1983-12-14	0	NULO	23	12
1983-12-15	2	NULO	23.5	9.5
1983-12-16	7.5	NULO	21	10
1983-12-17	2	NULO	25.5	10
1983-12-18	2.5	NULO	23	10
1983-12-19	0	NULO	27.5	10.5
1983-12-20	0	NULO	23	11
1983-12-21	0	NULO	25.5	14.5
1983-12-22	2.5	NULO	26	12
1983-12-23	8.2	NULO	23.5	10.5
1983-12-24	8.2	NULO	16.5	11.5
1983-12-25	6.5	NULO	18.5	-4
1983-12-26	1	NULO	22	-2
1983-12-27	6.5	NULO	24.5	3.5
1983-12-28	0	NULO	32.5	10.5
1983-12-29	11	NULO	9.5	7
1983-12-30	10	NULO	8.5	4
1983-12-31	1.5	NULO	18.5	4
1984-01-01	0	NULO	16	4
1984-01-02	10.5	NULO	16.5	4.5
1984-01-03	21.5	NULO	16.5	13.5
1984-01-04	2.5	NULO	17.5	11.5
1984-01-05	0	NULO	16	12
1984-01-06	10.5	NULO	22.5	6.5
1984-01-07	8	NULO	20.5	10.5
1984-01-08	4.4	NULO	23	13.5
1984-01-09	3.9	NULO	21.5	13.5
1984-01-10	5.8	NULO	17	13.5
1984-01-11	6	NULO	15	8
1984-01-12	0	NULO	21	7.5
1984-01-13	0	NULO	21.5	9
1984-01-14	2.3	NULO	17	13
1984-01-15	3.5	NULO	24.5	13
1984-01-16	0	NULO	21.5	9
1984-01-17	0	NULO	23	10
1984-01-18	0	NULO	18.5	13
1984-01-19	2.3	NULO	16.5	8
1984-01-20	0	NULO	15	7
1984-01-21	0	NULO	21.5	10.5
1984-01-22	0	NULO	21	6
1984-01-23	0	NULO	20.5	8.5
1984-01-24	3.4	NULO	18.5	14.5
1984-01-25	3.6	NULO	19.5	13.5
1984-01-26	2.3	NULO	18	12.5
1984-01-27	0	NULO	19.5	10.5
1984-01-28	4.5	NULO	24	10.5
1984-01-29	0	NULO	19.5	13.5
1984-01-30	10.5	NULO	14	9
1984-01-31	0	NULO	11.5	6.5
1984-02-01	2	NULO	22	5
1984-02-02	0	NULO	23	10.5
1984-02-03	0	NULO	22	11
1984-02-04	0	NULO	19.5	14
1984-02-05	0	NULO	22	13.5
1984-02-06	0	NULO	21.5	13
1984-02-07	2.3	NULO	19	13
1984-02-08	3.4	NULO	23.5	12
1984-02-09	0	NULO	22.5	11
1984-02-10	0	NULO	22	12.5
1984-02-11	0	NULO	24	13.5
1984-02-12	0	NULO	23	12.5
1984-02-13	0	NULO	18	13
1984-02-14	0	NULO	22	10
1984-02-15	0	NULO	24.5	11
1984-02-16	2	NULO	21	12
1984-02-17	3	NULO	20	13.5
1984-02-18	1.2	NULO	22	12
1984-02-19	0	NULO	21	12.5
1984-02-20	0	NULO	16	13
1984-02-21	0	NULO	17	6.5
1984-02-22	0	NULO	16	7.5
1984-02-23	0	NULO	22	8
1984-02-24	0	NULO	21.5	11.5
1984-02-25	3.4	NULO	23.5	10
1984-02-26	2.3	NULO	28	12
1984-02-27	1.4	NULO	19	13
1984-02-28	0.2	NULO	18	8
1984-02-29	0.3	NULO	15.5	8
1984-03-01	8	NULO	21	11
1984-03-02	0	NULO	18.5	6.5
1984-03-03	3	NULO	19.5	6
1984-03-04	0	NULO	22.5	9.5
1984-03-05	0	NULO	21	5
1984-03-06	5.5	NULO	19	7.5
1984-03-07	2	NULO	20	9
1984-03-08	0	NULO	22.5	10.5
1984-03-09	0	NULO	20	6
1984-03-10	0	NULO	21.5	10
1984-03-11	0	NULO	20	10
1984-03-12	0	NULO	21.5	10.5
1984-03-13	0	NULO	23.5	6
1984-03-14	0	NULO	19	7.5
1984-03-15	0	NULO	23.5	9.5
1984-03-16	0	NULO	23	5
1984-03-17	5.5	NULO	19.5	7.5
1984-03-18	2	NULO	20	9
1984-03-19	0	NULO	22.5	10.5
1984-03-20	0	NULO	24	6
1984-03-21	0	NULO	21.5	10
1984-03-22	0	NULO	18	10
1984-03-23	0	NULO	21.5	10
1984-03-24	10.5	NULO	24	6
1984-03-25	0	NULO	24	9.5
1984-03-26	0	NULO	23.5	6.5
1984-03-27	0	NULO	25	5
1984-03-28	0	NULO	24	8.5
1984-03-29	0	NULO	26	6.5
1984-03-30	0	NULO	26	6.5
1984-03-31	0	NULO	27.5	10
1984-04-01	0	NULO	21.5	10.5
1984-04-02	0	NULO	28	10.5
1984-04-03	0	NULO	29.5	10
1984-04-04	0	NULO	24	6
1984-04-05	0	NULO	21.5	5
1984-04-06	0	NULO	18	6
1984-04-07	0	NULO	25.5	10.5
1984-04-08	0	NULO	26	10
1984-04-09	0	NULO	25.5	6
1984-04-10	0	NULO	26	9.5
1984-04-11	0	NULO	28.5	7.5
1984-04-12	0	NULO	29	5
1984-04-13	2	NULO	25.5	9.5
1984-04-14	0	NULO	28	12
1984-04-15	0	NULO	23.5	10.5
1984-04-16	0	NULO	23	10.5
1984-04-17	0	NULO	25.5	13
1984-04-18	0	NULO	25.5	12
1984-04-19	0	NULO	32	10.5
1984-04-20	0	NULO	33	10.5
1984-04-21	0	NULO	33.5	10.5
1984-04-22	0	NULO	26.5	9
1984-04-23	0	NULO	23	10
1984-04-24	0	NULO	27	9.5
1984-04-25	0	NULO	33.5	14.5
1984-04-26	0	NULO	33.5	15
1984-04-27	0	NULO	33.5	16
1984-04-28	0	NULO	33.5	14
1984-04-29	0	NULO	34	15
1984-04-30	0	NULO	28.5	16.5
1984-05-01	4.5	NULO	24.5	10.5
1984-05-02	0	NULO	24	5
1984-05-03	0	NULO	29	6.5
1984-05-04	0	NULO	34	8.5
1984-05-05	0	NULO	34.5	7
1984-05-06	0	NULO	29	12.5
1984-05-07	0	NULO	34.5	16
1984-05-08	67.5	NULO	17	11
1984-05-09	0	NULO	15.5	9.5
1984-05-10	0	NULO	24	5
1984-05-11	0	NULO	22.5	6.5
1984-05-12	0	NULO	23	7.5
1984-05-13	0	NULO	19	7.5
1984-05-14	8	NULO	18.5	7
1984-05-15	8.9	NULO	19.5	8.5
1984-05-16	9.5	NULO	23.5	6
1984-05-17	1.5	NULO	21	10.5
1984-05-18	1.5	NULO	21.5	12
1984-05-19	0	NULO	24	13.5
1984-05-20	4.5	NULO	25.5	13.5
1984-05-21	0	NULO	25	11
1984-05-22	0	NULO	28.5	11.5
1984-05-23	10	NULO	29	15
1984-05-24	0	NULO	21.5	12.5
1984-05-25	0	NULO	23	10
1984-05-26	1	NULO	21.5	10.5
1984-05-27	13.5	NULO	22	9
1984-05-28	106.5	NULO	22	10.5
1984-05-29	0	NULO	17	11
1984-05-30	0	NULO	15	11
1984-05-31	0	NULO	16.5	6.5
1984-06-01	0	NULO	25.5	14.5
1984-06-02	0	NULO	22	15.5
1984-06-03	0	NULO	21.5	13.5
1984-06-04	0	NULO	23	12
1984-06-05	6.5	NULO	27.5	16.5
1984-06-06	0	NULO	27	15
1984-06-07	0	NULO	26.5	13.5
1984-06-08	0	NULO	27	16
1984-06-09	16	NULO	25.5	15.5
1984-06-10	11	NULO	24	11
1984-06-11	18	NULO	25	12.5
1984-06-12	15.8	NULO	23	11
1984-06-13	30.5	NULO	23.5	12.5
1984-06-14	40.5	NULO	20	11
1984-06-15	10	NULO	23.5	11.5
1984-06-16	20.5	NULO	23	10
1984-06-17	13.5	NULO	23.5	12.5
1984-06-18	29	NULO	23	11
1984-06-19	22.5	NULO	24.5	10.5
1984-06-20	3.5	NULO	23	11
1984-06-21	5.2	NULO	23	12.5
1984-06-22	3.5	NULO	23	11.5
1984-06-23	16.4	NULO	24	13.5
1984-06-24	17	NULO	26.5	11.5
1984-06-25	10.7	NULO	27	11
1984-06-26	17.4	NULO	25	11.5
1984-06-27	6.5	NULO	24.5	12
1984-06-28	0	NULO	25	12
1984-06-29	0	NULO	25.5	11.5
1984-06-30	20	NULO	26.5	13
1984-07-01	2.5	NULO	19	15.5
1984-07-02	3	NULO	19.5	11.5
1984-07-03	26.4	NULO	19	11
1984-07-04	28	NULO	17.5	11.5
1984-07-05	14.4	NULO	19	11.5
1984-07-06	27.3	NULO	19	13
1984-07-07	100.7	NULO	19	11.5
1984-07-08	28.2	NULO	17.5	11.5
1984-07-09	25.5	NULO	17	10
1984-07-10	14	NULO	19	12.5
1984-07-11	18.3	NULO	17.5	13
1984-07-12	5.4	NULO	16	11.5
1984-07-13	200	NULO	16.5	13
1984-07-14	5.8	NULO	16	10
1984-07-15	1.8	NULO	17.5	13.5
1984-07-16	7.8	NULO	20	10
1984-07-17	30	NULO	21.5	10.5
1984-07-18	15.5	NULO	21	11
1984-07-19	17	NULO	21.5	10.5
1984-07-20	8.7	NULO	19.5	11
1984-07-21	20.3	NULO	19	13.5
1984-07-22	23.7	NULO	19.5	11.5
1984-07-23	100.9	NULO	17.5	12.5
1984-07-24	120.5	NULO	25	10.5
1984-07-25	100	NULO	21	11.5
1984-07-26	2.5	NULO	23	11.5
1984-07-27	1.5	NULO	22.5	11.5
1984-07-28	6	NULO	25	11
1984-07-29	2.3	NULO	20	11.5
1984-07-30	13	NULO	25	13.5
1984-07-31	0	NULO	25	11
1984-08-01	15.6	NULO	23	15.5
1984-08-02	14	NULO	24.5	12.5
1984-08-03	40	NULO	20	9
1984-08-04	13.4	NULO	24.5	10.5
1984-08-05	10.5	NULO	19	9
1984-08-06	9.5	NULO	23.5	10.5
1984-08-07	0	NULO	26	11
1984-08-08	18.2	NULO	21.5	13.5
1984-08-09	0	NULO	19	11.5
1984-08-10	0	NULO	19.5	10
1984-08-11	10.8	NULO	21	7.5
1984-08-12	8	NULO	21.5	11.5
1984-08-13	31.5	NULO	21	11
1984-08-14	0	NULO	20.5	11.5
1984-08-15	28.5	NULO	19	10
1984-08-16	6.8	NULO	17.5	7.5
1984-08-17	10.9	NULO	20.5	11.5
1984-08-18	12.8	NULO	21.5	8.5
1984-08-19	13.4	NULO	21	11
1984-08-20	0	NULO	24.5	12.5
1984-08-21	55	NULO	19	12
1984-08-22	80	NULO	17.5	10.5
1984-08-23	100	NULO	19	11
1984-08-24	100	NULO	20.5	10
1984-08-25	77	NULO	21	10
1984-08-26	115	NULO	20.5	10.5
1984-08-27	82.5	NULO	16.5	11
1984-08-28	63	NULO	21.5	10
1984-08-29	50.7	NULO	21	10.5
1984-08-30	60.5	NULO	19	10.5
1984-08-31	17.5	NULO	22	10
1984-09-01	25	NULO	21.5	14.5
1984-09-02	10.5	NULO	20	13
1984-09-03	11.9	NULO	20.5	13.5
1984-09-04	13.4	NULO	21.5	12.5
1984-09-05	60	NULO	15	12.5
1984-09-06	50	NULO	15	12.5
1984-09-07	55.8	NULO	15.5	11
1984-09-08	54.5	NULO	18	12.5
1984-09-09	9.4	NULO	18.5	11.5
1984-09-10	25.5	NULO	17	12.5
1984-09-11	20.5	NULO	16.5	10.5
1984-09-12	4.9	NULO	13.5	12
1984-09-13	19	NULO	16	9
1984-09-14	82.3	NULO	18.5	10
1984-09-15	85.5	NULO	17	12.5
1984-09-16	84.8	NULO	15.5	10.5
1984-09-17	93.5	NULO	13	10
1984-09-18	100.5	NULO	15.5	10.5
1984-09-19	97	NULO	19.5	12
1984-09-20	0	NULO	16.5	10
1984-09-21	70.8	NULO	17.5	11
1984-09-22	62.5	NULO	18	10.5
1984-09-23	20.4	NULO	17.5	11.5
1984-09-24	19.6	NULO	20.5	12.5
1984-09-25	21.3	NULO	21.5	12.5
1984-09-26	22	NULO	23.5	11.5
1984-09-27	0	NULO	17	7
1984-09-28	5.5	NULO	16.5	9.5
1984-09-29	74.9	NULO	17	10
1984-09-30	16	NULO	18	8.5
1984-10-01	2	NULO	16	12.5
1984-10-02	0	NULO	19	12.5
1984-10-03	5.2	NULO	18	12
1984-10-04	0	NULO	17.5	13.5
1984-10-05	0	NULO	21	10
1984-10-06	0	NULO	18.5	9.5
1984-10-07	10.5	NULO	20	13
1984-10-08	9.6	NULO	21.5	10.5
1984-10-09	0	NULO	19	9
1984-10-10	0	NULO	18.5	10.5
1984-10-11	0	NULO	17	11.5
1984-10-12	0	NULO	18.5	10.5
1984-10-13	0	NULO	18.5	9.5
1984-10-14	0	NULO	23.5	11
1984-10-15	7.5	NULO	27	11
1984-10-16	6	NULO	26.5	15
1984-10-17	10.5	NULO	22.5	16.5
1984-10-18	11	NULO	25	15.5
1984-10-19	0	NULO	24	14
1984-10-20	0	NULO	24.5	13.5
1984-10-21	0	NULO	25	14
1984-10-22	0	NULO	23.5	13
1984-10-23	80.9	NULO	24	16
1984-10-24	2.5	NULO	20.5	13.5
1984-10-25	8.8	NULO	19	10
1984-10-26	0	NULO	21	13
1984-10-27	2.5	NULO	19	12
1984-10-28	14.4	NULO	20.5	10.5
1984-10-29	0	NULO	19	10.5
1984-10-30	0	NULO	17.5	9
1984-10-31	2.5	NULO	18	11
1984-11-01	3	NULO	18	12.5
1984-11-02	2.5	NULO	17.5	14.5
1984-11-03	4.4	NULO	20	10
1984-11-04	0	NULO	23.5	7.5
1984-11-05	0	NULO	17.5	10
1984-11-06	0	NULO	17	11
1984-11-07	0	NULO	24	13
1984-11-08	0	NULO	25.5	13.5
1984-11-09	0	NULO	23	13.5
1984-11-10	0	NULO	23.5	13
1984-11-11	0	NULO	19	7
1984-11-12	4.2	NULO	18.5	8.5
1984-11-13	3	NULO	17	8.5
1984-11-14	3.6	NULO	18.5	6
1984-11-15	3.2	NULO	19	13
1984-11-16	4.2	NULO	24	6.5
1984-11-17	0	NULO	22	10
1984-11-18	0	NULO	18	11.5
1984-11-19	0	NULO	19.5	14.5
1984-11-20	27	NULO	23	12.5
1984-11-21	20.3	NULO	22	6.5
1984-11-22	27.4	NULO	13	7
1984-11-23	0	NULO	17	4.5
1984-11-24	0	NULO	25	8.5
1984-11-25	0	NULO	24.5	10.5
1984-11-26	0	NULO	16.5	13.5
1984-11-27	0	NULO	21	2
1984-11-28	3.5	NULO	23	2
1984-11-29	0	NULO	22	4
1984-11-30	11	NULO	22	8
1984-12-01	0	NULO	22	15
1984-12-02	3.5	NULO	21.5	11.5
1984-12-03	0	NULO	15	11
1984-12-04	0	NULO	19.5	11.5
1984-12-05	0	NULO	17	13
1984-12-06	7.9	NULO	16.5	6.5
1984-12-07	0	NULO	16	1.5
1984-12-08	0	NULO	14	6.5
1984-12-09	0	NULO	24	6
1984-12-10	0	NULO	20	5.5
1984-12-11	0	NULO	17.5	6
1984-12-12	0	NULO	21.5	6
1984-12-13	0	NULO	24	10
1984-12-14	0	NULO	20.5	10.5
1984-12-15	0	NULO	19	12
1984-12-16	0	NULO	20.5	11
1984-12-17	0	NULO	23	12
1984-12-18	0	NULO	18.5	9.5
1984-12-19	0	NULO	18	10
1984-12-20	2	NULO	19.5	8.5
1984-12-21	7.5	NULO	23	10
1984-12-22	2	NULO	22	10.5
1984-12-23	2.5	NULO	19	11
1984-12-24	9.7	NULO	24.5	6.5
1984-12-25	0	NULO	19	5.5
1984-12-26	11.2	NULO	17	7
1984-12-27	0	NULO	16	8
1984-12-28	0	NULO	18.5	10.5
1984-12-29	0	NULO	18	10
1984-12-30	0	NULO	19.5	8.5
1984-12-31	0	NULO	19.5	9
1985-01-01	0	NULO	20	8.5
1985-01-02	0	NULO	18	6
1985-01-03	0	NULO	12	3
1985-01-04	4.5	NULO	13.5	-3
1985-01-05	0	NULO	16	-4
1985-01-06	0	NULO	15.5	4.5
1985-01-07	0	NULO	16.5	3
1985-01-08	0	NULO	24.5	1.5
1985-01-09	0	NULO	21	4.5
1985-01-10	0	NULO	19	8.5
1985-01-11	6.5	NULO	19	6
1985-01-12	2.7	NULO	11	5
1985-01-13	0	NULO	16.5	4.5
1985-01-14	2.2	NULO	16.5	7
1985-01-15	3.9	NULO	21	4.5
1985-01-16	3.5	NULO	21.5	6.5
1985-01-17	0	NULO	21	4.5
1985-01-18	0	NULO	23.5	6
1985-01-19	0	NULO	15.5	5.5
1985-01-20	0	NULO	18.5	10.5
1985-01-21	4.5	NULO	9	2
1985-01-22	0	NULO	15.5	2
1985-01-23	0	NULO	19	3.5
1985-01-24	0	NULO	22	7
1985-01-25	0	NULO	19.5	6
1985-01-26	0	NULO	20.5	8
1985-01-27	0	NULO	26	11.5
1985-01-28	0	NULO	19.5	9
1985-01-29	0	NULO	22.5	6
1985-01-30	0	NULO	21.5	9
1985-01-31	0	NULO	24.5	8.5
1985-02-01	2	NULO	26.5	10.5
1985-02-02	0	NULO	22	5
1985-02-03	0	NULO	21.5	5.5
1985-02-04	0	NULO	24	8
1985-02-05	0	NULO	25.5	7.5
1985-02-06	24.5	NULO	21	1
1985-02-07	2.5	NULO	16.5	10.5
1985-02-08	0	NULO	14.5	5
1985-02-09	0	NULO	21.5	6.5
1985-02-10	0	NULO	24.5	8.5
1985-02-11	0	NULO	13	7.5
1985-02-12	0	NULO	9	2.5
1985-02-13	0	NULO	18	2
1985-02-14	0	NULO	13	5
1985-02-15	2	NULO	13.5	7.5
1985-02-16	7.5	NULO	18	7
1985-02-17	2	NULO	19.5	2.5
1985-02-18	2.5	NULO	18	10.5
1985-02-19	0	NULO	18	10.5
1985-02-20	0	NULO	18	11
1985-02-21	0	NULO	21.5	10.5
1985-02-22	2.5	NULO	19	10
1985-02-23	8.2	NULO	21.5	10.5
1985-02-24	8.2	NULO	20	9
1985-02-25	6.5	NULO	21.5	9
1985-02-26	1	NULO	18	8
1985-02-27	6.5	NULO	14.5	10
1985-02-28	0	NULO	16	9.5
1985-03-01	8	NULO	18	6
1985-03-02	0	NULO	18.5	5
1985-03-03	3	NULO	19	9.5
1985-03-04	0	NULO	20	7.5
1985-03-05	0	NULO	21	10.5
1985-03-06	0	NULO	20	10
1985-03-07	5.4	NULO	18	6
1985-03-08	2	NULO	19.5	10
1985-03-09	0	NULO	23.5	10.5
1985-03-10	0	NULO	19.5	10.5
1985-03-11	0	NULO	19.5	6
1985-03-12	0	NULO	18.5	7.5
1985-03-13	0	NULO	24	9.5
1985-03-14	0	NULO	19.5	5.5
